Tanko ID,Attribute,Previous Value,New Value,Time Comparison Made
1015650,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1015650,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1002820,INSFIXTURE,Choose...,51W VERD-AO18-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1002820,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1002820,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1002820,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1002820,INSOLDWATT,Choose...,100,2017-10-26 14:03:51.961000
1002820,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1001370,INSFIXTURE,Choose...,51W VERD-AO18-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1001370,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1001370,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1001370,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1001370,INSOLDWATT,Choose...,100,2017-10-26 14:03:51.961000
1001370,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1015000,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1015000,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1015000,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1015000,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1015000,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1015000,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1015250,INSFIXTURE,Choose...,51W VERD-AO18-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1015250,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1015250,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1015250,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1015250,INSOLDWATT,Choose...,100,2017-10-26 14:03:51.961000
1015250,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1002700,INSFIXTURE,Choose...,92W VERD-AO2-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1002700,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1002700,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1002700,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1002700,INSOLDWATT,Choose...,150,2017-10-26 14:03:51.961000
1002700,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1001460,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1001460,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1001460,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1001460,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1001460,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1001460,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1014420,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1014420,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1014420,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1014420,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
